nickname,user_type,estimated_followers,post_count,avg_liked,avg_collected,avg_comment,avg_total_engagement,avg_engagement_rate,koc_score,max_total_engagement
健身达人3,Micro KOL,16249,1,484.0,294.0,28.0,816.0,100.43694996615176,68.0151,816
健身达人30,Micro KOL,131041,1,1784.0,808.0,290.0,3056.0,46.641890705962254,72.0,3056
健身达人4,Micro KOL,27096,1,841.0,422.0,158.0,1501.0,110.79126070268673,74.2904,1501
健身达人5,Micro KOL,33547,1,681.0,361.0,107.0,1189.0,70.88562315557277,73.6453,1189
健身达人6,KOC,725,1,1869.0,852.0,322.0,3208.0,8849.655172413793,82.0,3208
健身达人7,Nano KOL,7229,1,437.0,276.0,49.0,787.0,217.73412643519157,69.48,787
健身达人8,KOC,2631,1,284.0,201.0,18.0,526.0,399.84796655264154,61.04,526
健身达人9,Nano KOL,6663,1,1270.0,698.0,196.0,2228.0,668.7678223022662,78.0,2228
普拉提达人1,Micro KOL,23180,1,917.0,503.0,54.0,1543.0,133.13201035375323,74.682,1543
普拉提达人10,Micro KOL,120980,1,1769.0,541.0,222.0,2689.0,44.453628698958504,72.0,2689
普拉提达人11,Micro KOL,36175,1,1066.0,467.0,136.0,1759.0,97.2494816862474,73.3825,1759
普拉提达人12,Micro KOL,11565,1,414.0,155.0,24.0,631.0,109.12235192390834,61.0835,631
普拉提达人13,KOC,340,1,612.0,263.0,117.0,1023.0,6017.64705882353,82.0,1023
普拉提达人14,Micro KOL,23394,1,1187.0,587.0,66.0,1882.0,160.89595622809267,74.6606,1882
普拉提达人15,Micro KOL,28492,1,925.0,443.0,140.0,1532.0,107.53895830408536,74.1508,1532
普拉提达人16,KOC,383,1,1411.0,1112.0,93.0,2671.0,13947.780678851173,82.0,2671
普拉提达人17,KOC,297,1,879.0,694.0,76.0,1736.0,11690.235690235688,82.0,1736
普拉提达人18,Nano KOL,8694,1,905.0,589.0,120.0,1694.0,389.69404186795487,78.0,1694
普拉提达人19,Micro KOL,40545,1,856.0,557.0,62.0,1542.0,76.06363300036996,72.9455,1542
普拉提达人2,Micro KOL,29459,1,1296.0,552.0,128.0,2090.0,141.89212125326725,74.0541,2090
普拉提达人20,Micro KOL,51763,1,1014.0,552.0,82.0,1700.0,65.68398276761394,72.0,1700
普拉提达人21,Micro KOL,25391,1,790.0,430.0,51.0,1295.0,102.00464731597809,74.4609,1295
普拉提达人22,Micro KOL,12543,1,641.0,227.0,76.0,975.0,155.4651997129873,74.7457,975
普拉提达人23,KOC,1723,1,129.0,75.0,11.0,219.0,254.2077771329077,48.76,219
普拉提达人24,Micro KOL,139196,1,1757.0,796.0,293.0,3001.0,43.11905514526279,72.0,3001
普拉提达人25,KOC,3106,1,733.0,426.0,93.0,1313.0,845.460399227302,80.0,1313
普拉提达人26,KOC,665,1,733.0,511.0,82.0,1376.0,4138.345864661654,82.0,1376
普拉提达人27,Nano KOL,4889,1,482.0,193.0,48.0,737.0,301.4931478830027,67.48,737
普拉提达人28,KOC,897,1,784.0,342.0,77.0,1242.0,2769.230769230769,82.0,1242
普拉提达人29,Micro KOL,56083,1,1544.0,519.0,288.0,2444.0,87.15653584865288,72.0,2444
普拉提达人3,Micro KOL,26756,1,1245.0,968.0,209.0,2528.0,188.96696068171624,74.3244,2528
普拉提达人30,KOC,901,1,1449.0,533.0,272.0,2356.0,5229.744728079911,82.0,2356
普拉提达人4,KOC,831,1,537.0,186.0,94.0,857.0,2062.575210589651,76.28,857
普拉提达人5,Micro KOL,48988,1,1494.0,1156.0,88.0,2787.0,113.7829672572875,72.1012,2787
普拉提达人6,KOC,123,1,1345.0,523.0,220.0,2172.0,35317.0731707317,82.0,2172
普拉提达人7,KOC,571,1,126.0,87.0,7.0,223.0,781.0858143607705,50.92,223
普拉提达人8,Micro KOL,13349,1,1957.0,1436.0,264.0,3726.0,558.2440632257097,75.6651,3726
普拉提达人9,Micro KOL,96395,1,1859.0,1145.0,187.0,3258.0,67.59686705742,72.0,3258
瑜伽达人1,KOC,298,1,1897.0,875.0,196.0,3010.0,20201.342281879195,82.0,3010
瑜伽达人10,Micro KOL,10986,1,498.0,197.0,36.0,763.0,138.90405971236117,66.42139999999999,763
瑜伽达人11,KOC,464,1,788.0,272.0,57.0,1170.0,5043.103448275861,82.0,1170
瑜伽达人12,Micro KOL,56708,1,1147.0,793.0,108.0,2148.0,75.7565070184101,72.0,2148
瑜伽达人13,Micro KOL,22583,1,773.0,310.0,133.0,1257.0,111.3226763494664,74.7417,1257
瑜伽达人14,Micro KOL,40780,1,1520.0,789.0,266.0,2619.0,128.44531633153505,72.922,2619
瑜伽达人15,Micro KOL,28752,1,1272.0,841.0,227.0,2366.0,164.5798553144129,74.1248,2366
瑜伽达人16,KOC,1952,1,134.0,47.0,7.0,198.0,202.86885245901635,47.92,198
瑜伽达人17,KOC,912,1,1382.0,457.0,84.0,2011.0,4410.087719298245,82.0,2011
瑜伽达人18,Nano KOL,4636,1,477.0,212.0,84.0,816.0,352.0276100086281,70.64,816
瑜伽达人19,Nano KOL,4690,1,235.0,185.0,15.0,447.0,190.6183368869936,55.879999999999995,447
瑜伽达人2,Micro KOL,14360,1,528.0,285.0,86.0,929.0,129.38718662952647,72.72399999999999,929
瑜伽达人20,Micro KOL,81273,1,1894.0,659.0,354.0,3073.0,75.62167017336631,72.0,3073
瑜伽达人21,Micro KOL,26100,1,1271.0,584.0,219.0,2118.0,162.29885057471265,74.39,2118
瑜伽达人22,Micro KOL,14512,1,1341.0,568.0,121.0,2106.0,290.24255788313116,75.5488,2106
瑜伽达人23,KOC,3264,1,394.0,189.0,54.0,659.0,403.79901960784304,66.36,659
瑜伽达人24,Micro KOL,10888,1,554.0,169.0,72.0,829.0,152.27773695811905,69.07119999999999,829
瑜伽达人25,Micro KOL,55245,1,1456.0,884.0,85.0,2557.0,92.56946329984615,72.0,2557
瑜伽达人26,Micro KOL,57700,1,1706.0,807.0,186.0,2857.0,99.02946273830156,72.0,2857
瑜伽达人27,Micro KOL,18279,1,1065.0,686.0,107.0,1924.0,210.51479840253845,75.1721,1924
瑜伽达人28,KOC,575,1,1423.0,441.0,248.0,2245.0,7808.695652173912,82.0,2245
瑜伽达人29,KOC,368,1,781.0,547.0,136.0,1509.0,8201.086956521738,82.0,1509
瑜伽达人3,KOC,461,1,1119.0,417.0,100.0,1692.0,7340.563991323211,82.0,1692
瑜伽达人30,Micro KOL,76907,1,1712.0,1077.0,297.0,3122.0,81.18896849441532,72.0,3122
瑜伽达人4,KOC,144,1,1355.0,807.0,135.0,2345.0,32569.444444444445,82.0,2345
瑜伽达人5,KOC,1047,1,123.0,58.0,16.0,207.0,395.4154727793696,48.28,207
瑜伽达人6,KOC,779,1,1814.0,700.0,179.0,2843.0,7299.101412066751,82.0,2843
瑜伽达人7,KOC,898,1,1015.0,735.0,76.0,1880.0,4187.082405345211,82.0,1880
瑜伽达人8,KOC,535,1,740.0,429.0,139.0,1344.0,5024.2990654205605,82.0,1344
瑜伽达人9,KOC,575,1,1124.0,859.0,98.0,2159.0,7509.565217391304,82.0,2159
